1     0
2     1
3     1
4     1
5     1
6     2
7     2 
8     1
9     1
10    2
11    2
12    3
13    4
14    4
15    5
16    7
17    7 
18    7
19    6
20    6
21    7
22    7
23    8
24    8
25    9
26    9
27    9  
28    10
29    8
30    9
31    10
32    11
33    19
34    24
35    28
36    33
37    37  
38    32
39    34
40    39
41    59
42    73
43    87
44    110
45    152
46    176
47    205 
48    254
49    305
50    364
51    431
52    477
53    526
54    651
55    871
56    934
57    1010 
58    1070
59    1270
60    1570
61    1830
62    1990
63    2390
64    2710
65    3110
66    3010
67    3390 
68    3610
69    4400
70    5480
71    5480
72    6550
73    4780
74    5250
75    5800
76    3700
77    6020 
78    -2820 
79    -4960
80    -8100
81    3020 
82    4170
83    5420 
84    6090
85    6320
86    7700
87    8100 
88    7700
89    3580
90    7600
91    8400
92    7900
93    9400
